Date,S&P 500
2004-12,10000
2005-01,10000
2005-02,10038.876125916553
2005-03,10083.392968602262
2005-04,9896.91299080316
2005-05,10729.656396051518
2005-06,10956.634166928423
2005-07,11362.516161819174
2005-08,11161.265251126924
2005-09,11396.774251627112
2005-10,11223.825463288473
2005-11,11899.07743222437
2005-12,11874.273507060298
2006-01,11865.110040325535
2006-02,12140.073020982785
2006-03,12057.937983525047
2006-04,11797.0967069912
2006-05,11162.152834718632
2006-06,11312.909325227602
2006-07,11333.888626636452
2006-08,11527.048420768699
2006-09,12001.820530127081
2006-10,12357.07059958868
2006-11,12110.542806906173
2006-12,12307.692446996844
2007-01,12701.437416506846
2007-02,12210.01529277531
2007-03,12246.67584726239
2007-04,12518.642363301315
2007-05,13101.129525072238
2007-06,12833.106840485281
2007-07,12251.211918050847
2007-08,12435.95977979944
2007-09,12469.042997284472
2007-10,12431.670184571974
2007-11,11657.826836397518
2007-12,11607.723873625682
2008-01,10801.46444682218
2008-02,10245.297206761574
2008-03,9784.340332781976
2008-04,10439.898204208976
2008-05,10596.334804697013
2008-06,9544.832334701287
2008-07,9556.799996151773
2008-08,10270.853447849375
2008-09,9637.617127120164
2008-10,8990.250340330378
2008-11,8364.30250416562
2008-12,7729.995620684466
2009-01,7686.110093751598
2009-02,6960.6896490487325
2009-03,7192.29481685975
2009-04,7899.833945598316
2009-05,7854.260474117169
2009-06,7849.350730226702
2009-07,8440.177562457462
2009-08,8662.299032243709
2009-09,8757.389900648317
2009-10,8503.026174173314
2009-11,8878.771773241546
2009-12,9437.370888249758
2010-01,9383.96136733213
2010-02,9956.4122235213
2010-03,10627.946073089304
2010-04,10928.073079444992
2010-05,10878.411645572578
2010-06,10338.550783414717
2010-07,10419.457282768284
2010-08,10221.566562881802
2010-09,10343.482939490239
2010-10,10574.52987052013
2010-11,11274.17519676073
2010-12,11699.340961833494
2011-01,11687.28367371062
2011-02,11962.920840354482
2011-03,11652.771876890398
2011-04,11469.9559057263
2011-05,11713.909492327824
2011-06,11463.771084650849
2011-07,11382.00787412937
2011-08,10621.497450339837
2011-09,10566.773841649052
2011-10,11304.096200061776
2011-11,11768.540805175213
2011-12,12328.359845905366
2012-01,12648.428739231713
2012-02,12932.549559395788
2012-03,13444.39288810091
2012-04,13502.828044309454
2012-05,13520.352727384925
2012-06,13867.543705730182
2012-07,14409.581696584106
2012-08,14351.241396030873
2012-09,14358.06452779658
2012-10,14023.770342431324
2012-11,14111.884544063812
2012-12,14015.183136069163
2013-01,14353.001948476314
2013-02,15013.511121305799
2013-03,15969.814774906316
2013-04,15944.09697605173
2013-05,16398.90258911809
2013-06,16086.208792934027
2013-07,16655.52188516953
2013-08,16221.06440257429
2013-09,16394.31224698354
2013-10,16975.993499731605
2013-11,17530.885840746578
2013-12,17739.097054364018
2014-01,17473.159278969855
2014-02,17878.578060893513
2014-03,18060.46867046006
2014-04,18111.462761977746
2014-05,18866.63119084155
2014-06,19183.341248642424
2014-07,19312.178670756257
2014-08,20374.548015282322
2014-09,21053.536641891325
2014-10,21668.141782472485
2014-11,22322.705167997254
2014-12,22892.39188596278
2015-01,23845.88010862382
2015-02,25360.824778774797
2015-03,26074.115541690142
2015-04,25252.423955171947
2015-05,26146.892753518547
2015-06,25137.325110936836
2015-07,26182.042834978507
2015-08,24056.804638195346
2015-09,23485.28089935898
2015-10,25894.949385710042
2015-11,27045.738554853488
2015-12,25864.523568517547
2016-01,24505.251149071144
2016-02,24542.684958313046
2016-03,25062.098550907464
2016-04,25118.113183945712
2016-05,26138.501092520703
2016-06,26327.47984539041
2016-07,27269.565279504168
2016-08,27259.673579872146
2016-09,27192.334762149087
2016-10,27219.1141956396
2016-11,29051.03861662832
2016-12,29887.732294351088
2017-01,29846.869145114757
2017-02,31492.976002595096
2017-03,31250.5995220074
2017-04,30879.380919235748
2017-05,30500.05012272661
2017-06,30174.9860124614
2017-07,29966.50703426657
2017-08,29807.40962169363
2017-09,30469.490716776574
2017-10,31628.819082688176
2017-11,32016.51438391474
2017-12,31981.921088500312
2018-01,32551.66868492459
2018-02,31973.805772506632
2018-03,30888.74185146839
2018-04,31626.686368440354
2018-05,33438.50121799206
2018-06,33760.6699144587
2018-07,34782.365678284834
2018-08,36175.709455453565
2018-09,36615.22684874055
2018-10,34888.05345519867
2018-11,35468.476895912165
2018-12,32007.526728144865
2019-01,34456.22103998882
2019-02,35784.83767802844
2019-03,37065.80652918113
2019-04,38622.85740716125
2019-05,36383.51359879537
2019-06,38161.83608454844
2019-07,39503.080911501056
2019-08,39280.1124365698
2019-09,40552.97735910492
2019-10,40444.61106664219
2019-11,42566.78888244709
2019-12,42865.418446715055
2020-01,43551.72225221486
2020-02,40237.12978112189
2020-03,35332.55151371237
2020-04,40153.12327826189
2020-05,41081.03916431694
2020-06,41663.69399412925
2020-07,41595.860426453786
2020-08,44239.79546565606
2020-09,43399.551218986475
2020-10,42279.02404594753
2020-11,45800.41731934245
2020-12,46430.814192661484
